,cartoon_genre,cartoon_names,cartoon_ratings,cartoon_stars
0,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0086802/"">Snorks</a>","<span class=""ipl-rating-star__rating"">6.4</span>","<a href=""/name/nm0068407/"">Michael Bell</a>"
1,"<span class=""genre"">
Animation, Family            </span>","<a href=""/title/tt0144065/"">Ri¢hie Ri¢h</a>","<span class=""ipl-rating-star__rating"">5.9</span>","<a href=""/name/nm0919798/"">Frank Welker</a>"
2,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0126158/"">He-Man and the Masters of the Universe</a>","<span class=""ipl-rating-star__rating"">7.5</span>","<a href=""/name/nm0260008/"">John Erwin</a>"
3,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0088631/"">Thundercats</a>","<span class=""ipl-rating-star__rating"">7.9</span>","<a href=""/name/nm0568657/"">Bob McFadden</a>"
4,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0131613/"">Teenage Mutant Ninja Turtles</a>","<span class=""ipl-rating-star__rating"">7.9</span>","<a href=""/name/nm0164682/"">Cam Clarke</a>"
5,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0086764/"">Muppet Babies</a>","<span class=""ipl-rating-star__rating"">7.5</span>","<a href=""/name/nm0073765/"">Greg Berg</a>"
6,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0101084/"">Doug</a>","<span class=""ipl-rating-star__rating"">7.4</span>","<a href=""/name/nm0921942/"">Billy West</a>"
7,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0101188/"">Rugrats</a>","<span class=""ipl-rating-star__rating"">7.5</span>","<a href=""/name/nm0197354/"">Elizabeth Daily</a>"
8,"<span class=""genre"">
Animation, Family, Comedy            </span>","<a href=""/title/tt0173556/"">Heathcliff</a>","<span class=""ipl-rating-star__rating"">6.5</span>","<a href=""/name/nm0000305/"">Mel Blanc</a>"
9,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0103428/"">Goof Troop</a>","<span class=""ipl-rating-star__rating"">6.8</span>","<a href=""/name/nm0667326/"">Rob Paulsen</a>"
10,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0101076/"">Darkwing Duck</a>","<span class=""ipl-rating-star__rating"">7.6</span>","<a href=""/name/nm0191906/"">Jim Cummings</a>"
11,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0092345/"">DuckTales</a>","<span class=""ipl-rating-star__rating"">8.1</span>","<a href=""/name/nm0949241/"">Alan Young</a>"
12,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0108783/"">Gargoyles</a>","<span class=""ipl-rating-star__rating"">8.1</span>","<a href=""/name/nm0202966/"">Keith David</a>"
13,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0103359/"">Batman: The Animated Series</a>","<span class=""ipl-rating-star__rating"">9</span>","<a href=""/name/nm0175834/"">Kevin Conroy</a>"
14,"<span class=""genre"">
Animation, Short, Adventure            </span>","<a href=""/title/tt0098929/"">Tiny Toon Adventures</a>","<span class=""ipl-rating-star__rating"">7.5</span>","<a href=""/name/nm0012121/"">Charlie Adler</a>"
15,"<span class=""genre"">
Animation, Short, Adventure            </span>","<a href=""/title/tt0096553/"">Camp Candy</a>","<span class=""ipl-rating-star__rating"">6.8</span>","<a href=""/name/nm0001006/"">John Candy</a>"
16,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0094449/"">Dino-Riders</a>","<span class=""ipl-rating-star__rating"">7.1</span>","<a href=""/name/nm0319737/"">Dan Gilvezan</a>"
17,"<span class=""genre"">
Animation, Short, Adventure            </span>","<a href=""/title/tt0096543/"">Beetlejuice</a>","<span class=""ipl-rating-star__rating"">7.3</span>","<a href=""/name/nm0653554/"">Stephen Ouimette</a>"
18,"<span class=""genre"">
Animation, Short, Adventure            </span>","<a href=""/title/tt0084972/"">Alvin &amp; the Chipmunks</a>","<span class=""ipl-rating-star__rating"">6.6</span>","<a href=""/name/nm0046559/"">Ross Bagdasarian Jr.</a>"
19,"<span class=""genre"">
Animation, Family, Comedy            </span>","<a href=""/title/tt0166910/"">Dennis the Menace</a>","<span class=""ipl-rating-star__rating"">6.2</span>","<a href=""/name/nm0857849/"">Brennan Thicke</a>"
20,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0086719/"">G.I. Joe</a>","<span class=""ipl-rating-star__rating"">7.7</span>","<a href=""/name/nm0065159/"">Jackson Beck</a>"
